"CATEGORY","HANDLE","PARCELID","PROPERTYADDRESS"
"Vacant Lot","14516110360","45169445000","5391 WABADA AV "
"Vacant Lot","14518000580","45189580000","5379 ST LOUIS AV "
"Vacant Lot","14515000310","45159310000","2305 UNION BLVD "
"Vacant Lot","14515000320","45159320000","2301 UNION BLVD "
"Fenced & Locked or Paved Lot","14500010300","45009150000","2817 N KINGSHIGHWAY MEMORIAL BLVD "
"Vacant Lot","14493020350","44939385000","4953 TERRY AV "
"Vacant Building","14491020460","44919395000","2616 N KINGSHIGHWAY MEMORIAL BLVD "
"Vacant Lot","14426030080","44269040000","4262 LEE AV "
"Vacant Building","14614000260","46149260000","1519 FAIRMOUNT AV "
"Rehab","14490020060","44909195000","4946 WABADA AV "
"Vacant Lot","14501060250","45019320000","5000 NORTHLAND AV "
"Vacant Building","14506000325","45069325000","5101 COTE BRILLIANTE AV "
"Vacant Lot","14506000345","45069345000","5115 COTE BRILLIANTE AV "
"Vacant Building","14481030400","44819205000","3051 MARCUS AV "
"Vacant Lot","14468060730","44689315000","4359 W ST LOUIS AV "
"Vacant Building","14485000030","44859030000","4856 MAFFITT AV "
"Vacant Building","14474000020","44749020000","4644 LEDUC ST "
"Vacant Lot","14477020290","44779415000","4736 NORTHLAND AV "
"Fenced & Locked or Paved Lot","14468060860","44689380000","2924 N NEWSTEAD AV "
"Vacant Lot","14569000210","45699210000","4465 WEST BELLE PL "
"Ranken Tech","14569000035","45699035000","4400 W FAIRFAX CT "
"Vacant Lot","14564000570","45649570000","4013 C D BANKS AV "
"Vacant Building","14456000060","44569060000","4936 PALM ST "
"Vacant Building","14459060100","44599185000","4714 ASHLAND CT "
"Vacant Lot","14490010200","44909095000","4901 COTE BRILLIANTE AV "
"Vacant Lot","14613010460","46139250000","1576 FAIRMOUNT AV "
"Vacant Building","14481030550","44819280000","4741 GREER AV "
"Vacant Lot","14481030490","44819250000","4725 GREER AV "
"Vacant Lot","14466000260","44669260000","3121 NEW ASHLAND PL "
"Vacant Lot","14469060320","44699475000","4473 ST LOUIS AV "
"Vacant Lot","14477020460","44779505000","4721 CUPPLES PL "
"Vacant Lot","14470000140","44709140000","4632 KENNERLY AV "
"Vacant Lot","11654000270","16549270000","3701 S BROADWAY "
"Northside Regeneration VL","11843000010","18439010000","2742 CASS AV "
"Fenced & Locked or Paved Lot","11039000040","10399040000","3206 DR SAMUEL T SHEPARD DR "
"Vacant Lot","13657000210","36579210000","4005 ALDINE AV "
"Vacant Lot","13683000230","36839230000","1717 ANNIE MALONE DR "
"Fenced & Locked or Paved Lot","13788000205","37889205000","5021 WELLS AV "
"Vacant Building","13794000010","37949010000","5234 WELLS AV "
"Vacant Lot","14528000150","45289150000","5528 WABADA AV "
"Vacant Lot","14520000340","45209340000","3413 ARLINGTON AV "
"Fenced & Locked or Paved Lot","14518000520","45189520000","5355 ST LOUIS AV "
"Vacant Building","14515000370","45159370000","5329 LOTUS AV "
"Vacant Building","14503050250","45039125000","5255 NORTHLAND AV "
"Vacant Building","14503050280","45039140000","5265 NORTHLAND AV "
"Vacant Lot","14503050010","45039005000","5262 MAFFITT AV "
"Vacant Building","14504000460","45049460000","5129 WABADA AV "
"Vacant Lot","14477020480","44779515000","4735 CUPPLES PL "
"Vacant Lot","14474000060","44749060000","4631 COTE BRILLIANTE AV "
"Vacant Lot","14478000550","44789550000","4749 NORTHLAND AV "
"Vacant Building","14463000390","44639390000","4453 ELMBANK AV "
"Vacant Lot","13701000320","37019320000","4427 ALDINE AV "
"Vacant Lot","13573030010","35739005000","4284 W PENROSE ST "
"Vacant Lot","13353000020","33539020000","4308 DESOTO AV "
"Vacant Lot","13629020340","36299380000","3843 LINCOLN AV "
"Vacant Building","12644000160","26449160000","3706 MERAMEC ST "
"Vacant Lot","14564000405","45649405000","3937 C D BANKS AV "
"Ranken Tech","14569000140","45699140000","4439 WEST BELLE PL "
"Ranken Tech","14569000150","45699150000","4443 WEST BELLE PL "
"Vacant Lot","14564000430","45649430000","3945 C D BANKS AV "
"Vacant Lot","14564000480","45649480000","3959 C D BANKS AV "
"Vacant Lot","14553050180","45539090000","1225 N TAYLOR AV "
"Vacant Lot","14545000211","45459211000","5847 CLEMENS AV "
"Vacant Lot","14532000030","45329030000","2508 CLARA AV "
"Vacant Lot","14528000195","45289195000","5506 WABADA AV "
"Vacant Lot","14528000130","45289130000","5538 WABADA AV "
"Northside Regeneration VL","11890000020","18909020000","2408 COLEMAN ST "
"Vacant Lot","14516110240","45169385000","2517 CHESTER ST "
"Northside Regeneration VB","12371000150","23719150000","2721 GREER AV "
"Vacant Lot","14525000030","45259030000","1904 BELT AV "
"Vacant Lot","14519010020","45199010000","3306 ABNER PL "
"Vacant Lot","14518000440","45189440000","2935 ABNER PL "
"Vacant Building","14520000330","45209330000","3419 ARLINGTON AV "
"Demolition","14513010130","45139065000","5338 PATTON AV "
"Vacant Building","14516110310","45169420000","5373 WABADA AV "
"Fenced & Locked or Paved Lot","11055000010","10559010000","3440 DR SAMUEL T SHEPARD DR "
"Vacant Lot","10272000080","02729080000","923 LOCUST ST "
"Fenced & Locked or Paved Lot","11056000022","10569022000","3414 WASHINGTON BLVD "
"Fenced & Locked or Paved Lot","11056000090","10569090000","3400 WASHINGTON BLVD "
"Fenced & Locked or Paved Lot","14419100190","44199525000","4500 BIRCHER BLVD "
"Vacant Lot","14426030180","44269090000","4119 RED BUD AV "
"Vacant Lot","14172000105","41729105000","4019 DUNNICA AV "
"Vacant Building","11416000040","14169040000","2860 WISCONSIN AV "
"Vacant Lot","11070000090","10709090000","2542 W DODIER ST "
"Northside Regeneration VL","11070000140","10709140000","2520 W DODIER ST "
"Northside Regeneration VL","11070000190","10709190000","2506 W DODIER ST "
"Vacant Lot","11055000130","10559130000","614 N THERESA AV "
"Vacant Lot","14453000040","44539040000","4864 PALM ST "
"Fenced & Locked or Paved Lot","14422000040","44229040000","4643 W FLORISSANT AV "
"Vacant Lot","14426030150","44269075000","4127 RED BUD AV "
"Vacant Building","14419100340","44199600000","4612 SHIRLEY PL "
"Northside Regeneration VB","11071000090","10719090000","2526 W SULLIVAN AV "
"Northside Regeneration VL","11071000130","10719130000","2510 W SULLIVAN AV "
"Vacant Lot","13864040154","38649235000","5636 CABANNE AV "
"Northside Regeneration VL","11076000060","10769060000","2512 DODIER ST "
"Fenced & Locked or Paved Lot","10463030030","04639020000","1200 S 8TH ST "
"Northside Regeneration VL","11076000070","10769070000","2508 DODIER ST "
"Fenced & Locked or Paved Lot","11076000200","10769200000","2531 UNIVERSITY ST "
"Vacant Lot","10465030311","04659115000","939 PARK AV "
"Vacant Lot","11086000090","10869090000","2825 N 23RD ST "
"Vacant Building","11086000170","10869170000","2325 ST LOUIS AV "
"Vacant Lot","13864030260","38649145000","5565 CATES AV "
"Vacant Lot","13818100230","38189485000","1421 BLACKSTONE AV "
"Vacant Lot","13823040270","38239255000","1310 HAMILTON BLVD "
"Vacant Lot","13864040156","38649245000","5626 CABANNE AV "
"Vacant Lot","13821040270","38219595000","1411 ROWAN AV "
"Fenced & Locked or Paved Lot","13815090170","38159335000","1231 SHAWMUT PL "
"Vacant Lot","13824000071","38249071000","5868 PAGE BLVD "
"Vacant Building","13812000100","38129100000","5714 BARTMER AV "
"Vacant Building","13807090260","38079365000","1367 MONTCLAIR AV "
"Fenced & Locked or Paved Lot","13822050190","38229085000","5838 RIDGE AV "
"Vacant Lot","13817090050","38179185000","1368 GOODFELLOW BLVD "
"Fenced & Locked or Paved Lot","13815100060","38159415000","1222 SHAWMUT PL "
"Fenced & Locked or Paved Lot","13812000180","38129180000","5634 BARTMER AV "
"Vacant Lot","13794000040","37949040000","5226 WELLS AV "
"Fenced & Locked or Paved Lot","13794000150","37949150000","5138 WELLS AV "
"Vacant Lot","13802030120","38029060000","1388 SEMPLE AV "
"Vacant Building","13794000245","37949245000","5112 WELLS AV "
"Vacant Lot","13802030150","38029075000","1396 SEMPLE AV "
"Vacant Lot","13806070040","38069020000","1412 BURD AV "
"Vacant Lot","13644010230","36449115000","3901 KENNERLY AV "
"Vacant Lot","13644010240","36449120000","3903 KENNERLY AV "
"Vacant Lot","13664000065","36649065000","1922 WHITTIER ST "
"Vacant Building","13669000220","36699220000","4117 ST LOUIS AV "
"Vacant Lot","13690000070","36909070000","2809 LAMBDIN AV "
"Vacant Building","13669000280","36699280000","4137 ST LOUIS AV "
"Vacant Building","13561000410","35619410000","4425 HOLLY AV "
"Vacant Lot","13573030080","35739040000","4264 W PENROSE ST "
"MSD Water Management","13320000010","33209010000","55 E GRAND AV "
"Vacant Building","13831000150","38319150000","5920 PLYMOUTH AV "
"Vacant Lot","13720000320","37209320000","1811 N TAYLOR AV "
"Vacant Lot","13728000350","37289350000","4225 EVANS AV "
"Vacant Lot","13724000530","37249530000","4476 DR MARTIN LUTHER KING DR "
"Northside Regeneration VL","11075000060","10759060000","2526 SULLIVAN AV "
"Northside Regeneration VL","11075000230","10759230000","2541 DODIER ST "
"Vacant Lot","11045000150","10459150000","3315 DR SAMUEL T SHEPARD DR "
"Vacant Lot","11045000160","10459160000","3317 DR SAMUEL T SHEPARD DR "
"Vacant Lot","11045000170","10459170000","3319 DR SAMUEL T SHEPARD DR "
"Vacant Lot","11414000160","14149160000","2810 LEMP AV "
"Vacant Lot","14466000350","44669350000","3051 NEW ASHLAND PL "
"Vacant Lot","14466000360","44669360000","3049 NEW ASHLAND PL "
"Vacant Lot","14466000370","44669370000","3045 NEW ASHLAND PL "
"Vacant Building","14441070158","44419090000","3621 CLAY AV "
"Vacant Lot","14441100250","44419620000","4203 W LEXINGTON AV "
"Vacant Building","14416170530","44169800000","4463 PENROSE ST "
"Vacant Lot","14416170540","44169805000","4465 PENROSE ST "
"Vacant Building","14440090120","44409390000","4228 LEXINGTON AV "
"Vacant Lot","14426040060","44269170000","4122 TURNER AV "
"Vacant Lot","14429000120","44299120000","4133 LEA PL "
"Vacant Lot","14416170570","44169825000","4475 PENROSE ST "
"Vacant Building","13567000220","35679220000","4266 RED BUD AV "
"Vacant Lot","13657000150","36579150000","4014 COTE BRILLIANTE AV "
"Vacant Building","13771000570","37719570000","1129 WALTON AV "
"Fenced & Locked or Paved Lot","13815090045","38159280000","1264 GOODFELLOW BLVD "
"Fenced & Locked or Paved Lot","13717000310","37179310000","4518 COTTAGE AV "
"Vacant Lot","13733000210","37339210000","4006 EVANS AV "
"Vacant Lot","13720000240","37209240000","4526 GARFIELD AV "
"Vacant Lot","13728000260","37289260000","4201 EVANS AV "
"Vacant Lot","13728000270","37289270000","4205 EVANS AV "
"Vacant Building","13644010190","36449095000","3910 MAFFITT AV "
